Date,State,TotalSamples,Negative,Positive
2020-04-17,Andaman and Nicobar Islands,1403,1210,12
2020-04-24,Andaman and Nicobar Islands,2679,,27
2020-04-27,Andaman and Nicobar Islands,2848,,33
2020-04-02,Andhra Pradesh,1800,1175,132
2020-04-10,Andhra Pradesh,6374,6009,365
2020-04-11,Andhra Pradesh,6958,6577,381
2020-04-12,Andhra Pradesh,6958,6553,405
2020-04-13,Andhra Pradesh,8755,8323,432
2020-04-14,Andhra Pradesh,10505,10032,473
2020-04-15,Andhra Pradesh,11613,11088,525
2020-04-16,Andhra Pradesh,20235,19701,534
2020-04-17,Andhra Pradesh,20235,,572
2020-04-18,Andhra Pradesh,21450,20487,603
2020-04-19,Andhra Pradesh,26958,26311,647
2020-04-20,Andhra Pradesh,30733,30011,722
2020-04-21,Andhra Pradesh,35755,34998,757
2020-04-22,Andhra Pradesh,41512,40699,813
2020-04-23,Andhra Pradesh,48032,47139,893
2020-04-24,Andhra Pradesh,54338,53383,955
2020-04-25,Andhra Pradesh,61266,60250,1016
2020-04-26,Andhra Pradesh,68034,66937,1097
2020-04-27,Andhra Pradesh,74551,73374,1177
2020-04-28,Andhra Pradesh,80334,79075,1259
2020-04-09,Arunachal Pradesh,206,185,1
2020-04-14,Arunachal Pradesh,280,250,1
2020-04-17,Arunachal Pradesh,363,338,1
2020-04-18,Arunachal Pradesh,389,358,1
2020-04-19,Arunachal Pradesh,,,
2020-04-20,Arunachal Pradesh,439,405,1
2020-04-21,Arunachal Pradesh,454,433,1
2020-04-22,Arunachal Pradesh,496,441,2
2020-04-23,Arunachal Pradesh,,,
2020-04-24,Arunachal Pradesh,526,508,2
2020-04-25,Arunachal Pradesh,,,
2020-04-26,Arunachal Pradesh,568,529,2
2020-04-27,Arunachal Pradesh,584,566,2
2020-04-28,Arunachal Pradesh,,,
2020-04-02,Assam,962,819,16
2020-04-05,Assam,,,
2020-04-10,Assam,2863,2685,29
2020-04-11,Assam,3011,2842,29
2020-04-12,Assam,3138,2973,29
2020-04-13,Assam,,,
2020-04-14,Assam,3491,3267,31
2020-04-15,Assam,3613,3492,32
2020-04-16,Assam,4108,3803,34
2020-04-17,Assam,4236,4024,34
2020-04-18,Assam,4400,4199,34
2020-04-19,Assam,4865,4584,34
2020-04-20,Assam,5112,4937,34
2020-04-21,Assam,5514,5245,34
2020-04-22,Assam,,,
2020-04-23,Assam,,,
2020-04-24,Assam,6680,6391,35
2020-04-25,Assam,7159,6781,35
2020-04-26,Assam,7823,7474,35
2020-04-27,Assam,8117,7985,35
2020-04-28,Assam,,,
2020-04-05,Bihar,3037,2299,32
2020-04-05,Bihar,3037,2299,32
2020-04-08,Bihar,4596,,38
2020-04-09,Bihar,4991,,43
2020-04-10,Bihar,5457,,60
2020-04-11,Bihar,6250,,61
2020-04-12,Bihar,6703,,64
2020-04-13,Bihar,7263,,65
2020-04-14,Bihar,7727,,62
2020-04-15,Bihar,8263,,66
2020-04-16,Bihar,8846,,72
2020-04-17,Bihar,9486,,83
2020-04-18,Bihar,10130,,85
2020-04-19,Bihar,10745,,92
2020-04-20,Bihar,11319,,96
2020-04-21,Bihar,11999,,115
2020-04-22,Bihar,12978,,136
2020-04-23,Bihar,13785,,148
2020-04-24,Bihar,14924,,176
2020-04-25,Bihar,15885,,238
2020-04-26,Bihar,17041,,255
2020-04-27,Bihar,18179,,328
2020-04-28,Bihar,19790,,346
2020-04-29,Bihar,,,
2020-04-30,Bihar,,,
2020-04-02,Chandigarh,124,98,18
2020-04-08,Chandigarh,184,162,18
2020-04-10,Chandigarh,223,199,19
2020-04-11,Chandigarh,264,223,19
2020-04-12,Chandigarh,279,247,21
2020-04-13,Chandigarh,296,263,21
2020-04-14,Chandigarh,309,285,21
2020-04-15,Chandigarh,317,293,21
2020-04-16,Chandigarh,337,315,21
2020-04-17,Chandigarh,358,335,21
2020-04-18,Chandigarh,381,348,23
2020-04-19,Chandigarh,430,388,26
2020-04-20,Chandigarh,453,417,26
2020-04-21,Chandigarh,497,445,27
2020-04-22,Chandigarh,529,492,27
2020-04-23,Chandigarh,599,557,27
2020-04-24,Chandigarh,638,603,27
2020-04-25,Chandigarh,734,668,28
2020-04-26,Chandigarh,756,677,30
2020-04-27,Chandigarh,843,777,40
2020-04-28,Chandigarh,,,
2020-04-02,Chhattisgarh,1232,921,9
2020-04-10,Chhattisgarh,3473,3322,18
2020-04-11,Chhattisgarh,3858,3503,18
2020-04-12,Chhattisgarh,3945,3856,31
2020-04-13,Chhattisgarh,4377,3969,31
2020-04-14,Chhattisgarh,4812,4319,33
2020-04-15,Chhattisgarh,5122,4878,33
2020-04-16,Chhattisgarh,5519,5168,33
2020-04-17,Chhattisgarh,5776,5484,36
2020-04-18,Chhattisgarh,5776,5484,36
2020-04-19,Chhattisgarh,6675,6086,36
2020-04-20,Chhattisgarh,7601,7029,36
2020-04-21,Chhattisgarh,8272,7555,36
2020-04-22,Chhattisgarh,9220,8296,36
2020-04-23,Chhattisgarh,10346,9206,36
2020-04-24,Chhattisgarh,11386,10213,36
2020-04-25,Chhattisgarh,12596,11168,37
2020-04-26,Chhattisgarh,13786,12406,37
2020-04-27,Chhattisgarh,14987,13882,37
2020-04-28,Chhattisgarh,,,
2020-04-01,Delhi,2621,,
2020-04-07,Delhi,9041,7308,576
2020-04-09,Delhi,9968,8643,720
2020-04-10,Delhi,11061,9662,903
2020-04-11,Delhi,11709,10218,1069
2020-04-12,Delhi,14036,11748,1154
2020-04-13,Delhi,15032,12283,1510
2020-04-14,Delhi,16282,13748,1561
2020-04-15,Delhi,16605,13865,1578
2020-04-16,Delhi,18784,14692,1640
2020-04-17,Delhi,21409,16899,1707
2020-04-18,Delhi,22283,17449,1893
2020-04-19,Delhi,24387,19393,2003
2020-04-20,Delhi,25900,20712,2081
2020-04-21,Delhi,26627,21810,2156
2020-04-22,Delhi,28309,22713,2248
2020-04-23,Delhi,30560,24538,2375
2020-04-24,Delhi,33672,26552,2514
2020-04-25,Delhi,35519,28693,2625
2020-04-26,Delhi,37613,31919,2918
2020-04-27,Delhi,39911,34145,3108
2020-04-28,Delhi,,,
2020-04-29,Delhi,,,
2020-04-02,Goa,220,197,5
2020-04-09,Goa,344,,7
2020-04-10,Goa,354,,7
2020-04-11,Goa,,,
2020-04-12,Goa,406,,7
2020-04-13,Goa,440,,7
2020-04-14,Goa,479,,7
2020-04-15,Goa,556,,7
2020-04-16,Goa,611,,7
2020-04-17,Goa,673,,7
2020-04-18,Goa,758,,7
2020-04-19,Goa,826,,7
2020-04-20,Goa,901,,7
2020-04-21,Goa,1004,,7
2020-04-22,Goa,1116,,7
2020-04-23,Goa,1206,,7
2020-04-24,Goa,,,
2020-04-27,Goa,1541,,7
2020-04-28,Goa,,,
2020-04-08,Gujarat,4224,3905,186
2020-04-09,Gujarat,,,
2020-04-10,Gujarat,7718,7237,378
2020-04-11,Gujarat,9763,8888,468
2020-04-12,Gujarat,11715,10867,516
2020-04-13,Gujarat,14251,12970,572
2020-04-14,Gujarat,14980,14363,617
2020-04-15,Gujarat,19197,18431,766
2020-04-16,Gujarat,20903,19974,929
2020-04-17,Gujarat,23483,22339,1099
2020-04-18,Gujarat,26102,24726,1376
2020-04-19,Gujarat,29104,27361,1743
2020-04-20,Gujarat,33316,31377,1939
2020-04-21,Gujarat,36829,34651,2178
2020-04-22,Gujarat,39421,37014,2407
2020-04-23,Gujarat,42384,39760,2624
2020-04-24,Gujarat,46743,41007,2815
2020-04-25,Gujarat,48315,45254,3061
2020-04-26,Gujarat,51091,47790,3301
2020-04-27,Gujarat,53575,50028,3547
2020-04-28,Gujarat,,,
2020-04-29,Gujarat,,,
2020-04-03,Haryana,1325,938,44
2020-04-07,Haryana,2520,1821,141
2020-04-08,Haryana,2650,1885,153
2020-04-09,Haryana,2964,2017,156
2020-04-10,Haryana,3527,2447,162
2020-04-11,Haryana,3663,2472,165
2020-04-12,Haryana,3903,2513,181
2020-04-13,Haryana,4489,2961,182
2020-04-14,Haryana,5210,3681,184
2020-04-15,Haryana,7388,5581,190
2020-04-16,Haryana,8064,6465,214
2020-04-17,Haryana,8884,7148,223
2020-04-18,Haryana,10454,8093,232
2020-04-19,Haryana,12687,10230,250
2020-04-20,Haryana,13894,11523,251
2020-04-21,Haryana,14562,12253,255
2020-04-22,Haryana,15561,13397,264
2020-04-23,Haryana,17582,15452,270
2020-04-24,Haryana,18845,16642,275
2020-04-25,Haryana,20270,17787,287
2020-04-26,Haryana,21467,19241,296
2020-04-27,Haryana,22993,20702,301
2020-04-28,Haryana,23907,21663,304
2020-04-29,Haryana,,,
2020-04-10,Himachal Pradesh,900,870,30
2020-04-11,Himachal Pradesh,900,870,30
2020-04-12,Himachal Pradesh,1113,944,32
2020-04-13,Himachal Pradesh,1210,1109,32
2020-04-14,Himachal Pradesh,1311,1232,32
2020-04-15,Himachal Pradesh,1426,1391,35
2020-04-16,Himachal Pradesh,1604,1559,35
2020-04-17,Himachal Pradesh,1992,1740,36
2020-04-18,Himachal Pradesh,2207,2091,39
2020-04-19,Himachal Pradesh,2553,2337,39
2020-04-20,Himachal Pradesh,2892,2714,39
2020-04-21,Himachal Pradesh,3341,2933,39
2020-04-22,Himachal Pradesh,3700,3510,39
2020-04-23,Himachal Pradesh,4020,3943,40
2020-04-24,Himachal Pradesh,4328,4160,40
2020-04-25,Himachal Pradesh,4623,4363,40
2020-04-26,Himachal Pradesh,4901,4794,40
2020-04-27,Himachal Pradesh,5106,5022,40
2020-04-28,Himachal Pradesh,,,
2020-04-29,Himachal Pradesh,,,
2020-04-05,Jammu and Kashmir,1551,1429,106
2020-04-10,Jammu and Kashmir,2961,2754,207
2020-04-11,Jammu and Kashmir,3206,2982,224
2020-04-12,Jammu and Kashmir,3600,3355,245
2020-04-13,Jammu and Kashmir,4065,3795,270
2020-04-14,Jammu and Kashmir,4619,4341,278
2020-04-15,Jammu and Kashmir,5171,4871,300
2020-04-16,Jammu and Kashmir,5680,5366,314
2020-04-17,Jammu and Kashmir,6438,6110,328
2020-04-18,Jammu and Kashmir,6937,6596,341
2020-04-19,Jammu and Kashmir,7895,7545,350
2020-04-20,Jammu and Kashmir,8612,8244,368
2020-04-21,Jammu and Kashmir,9220,8840,380
2020-04-22,Jammu and Kashmir,10039,9632,407
2020-04-23,Jammu and Kashmir,10977,10550,427
2020-04-24,Jammu and Kashmir,11764,11310,454
2020-04-25,Jammu and Kashmir,12835,12341,494
2020-04-26,Jammu and Kashmir,13959,13436,523
2020-04-27,Jammu and Kashmir,14988,14442,546
2020-04-28,Jammu and Kashmir,16619,16054,565
2020-04-29,Jammu and Kashmir,,,
2020-04-10,Jharkhand,1340,1326,14
2020-04-11,Jharkhand,1546,1529,17
2020-04-12,Jharkhand,1683,1666,17
2020-04-13,Jharkhand,1982,1963,19
2020-04-14,Jharkhand,2334,2307,27
2020-04-15,Jharkhand,,,
2020-04-16,Jharkhand,,,
2020-04-17,Jharkhand,3143,3111,32
2020-04-18,Jharkhand,3431,3398,33
2020-04-19,Jharkhand,3646,3608,38
2020-04-20,Jharkhand,4235,4190,45
2020-04-21,Jharkhand,,,
2020-04-22,Jharkhand,5176,5127,49
2020-04-23,Jharkhand,5380,5327,53
2020-04-24,Jharkhand,6162,6105,57
2020-04-25,Jharkhand,6970,6903,67
2020-04-26,Jharkhand,7806,7724,82
2020-04-27,Jharkhand,,,
2020-04-28,Jharkhand,,,
2020-04-03,Karnataka,4587,4281,128
2020-04-07,Karnataka,6580,5942,175
2020-04-08,Karnataka,6967,6473,181
2020-04-09,Karnataka,7613,7176,197
2020-04-10,Karnataka,7975,7673,207
2020-04-11,Karnataka,8560,8231,215
2020-04-12,Karnataka,9251,8831,232
2020-04-13,Karnataka,10017,9572,247
2020-04-14,Karnataka,11107,10554,260
2020-04-15,Karnataka,12483,11905,279
2020-04-16,Karnataka,13724,13074,315
2020-04-17,Karnataka,17594,14606,359
2020-04-18,Karnataka,19186,15658,384
2020-04-19,Karnataka,21367,17662,390
2020-04-20,Karnataka,23460,19497,408
2020-04-21,Karnataka,26233,22222,418
2020-04-22,Karnataka,29512,25424,427
2020-04-23,Karnataka,32122,28174,445
2020-04-24,Karnataka,35958,31914,474
2020-04-25,Karnataka,39083,34888,500
2020-04-26,Karnataka,42964,38207,503
2020-04-27,Karnataka,45685,43791,512
2020-04-28,Karnataka,50512,48508,523
2020-04-01,Kerala,7965,7256,265
2020-04-02,Kerala,8456,7622,286
2020-04-03,Kerala,9139,8126,295
2020-02-04,Kerala,9744,8586,306
2020-04-05,Kerala,10221,9300,314
2020-04-06,Kerala,10716,9607,327
2020-04-07,Kerala,11232,10250,336
2020-04-08,Kerala,11986,10906,354
2020-04-09,Kerala,12710,11469,258
2020-04-09,Kerala,12710,11469,357
2020-04-10,Kerala,13339,12335,364
2020-04-11,Kerala,14163,12818,373
2020-04-12,Kerala,14989,13802,375
2020-04-13,Kerala,15683,14829,378
2020-04-14,Kerala,16235,15488,386
2020-04-15,Kerala,16475,16002,387
2020-04-16,Kerala,17400,16459,394
2020-04-17,Kerala,18029,17279,395
2020-04-18,Kerala,18774,17763,399
2020-04-19,Kerala,19351,18547,401
2020-04-20,Kerala,19756,19074,408
2020-04-21,Kerala,20252,19442,426
2020-04-22,Kerala,20821,19998,437
2020-04-23,Kerala,21334,20326,447
2020-04-24,Kerala,21940,20830,450
2020-04-25,Kerala,22360,21475,457
2020-04-26,Kerala,22954,21997,468
2020-04-27,Kerala,23271,22537,481
2020-04-28,Kerala,,,
2020-04-13,Ladakh,618,,17
2020-04-14,Ladakh,760,615,17
2020-04-15,Ladakh,820,657,18
2020-04-16,Ladakh,917,695,18
2020-04-19,Ladakh,991,797,18
2020-04-21,Ladakh,1137,896,18
2020-04-25,Ladakh,,,
2020-04-26,Ladakh,,,
2020-04-05,Madhya Pradesh,2812,1954,193
2020-04-07,Madhya Pradesh,3770,3125,290
2020-04-08,Madhya Pradesh,4056,3443,341
2020-04-09,Madhya Pradesh,5135,3989,411
2020-04-10,Madhya Pradesh,7049,4840,451
2020-04-11,Madhya Pradesh,8516,5790,529
2020-04-12,Madhya Pradesh,10481,6875,562
2020-04-13,Madhya Pradesh,10481,6875,614
2020-04-14,Madhya Pradesh,12940,7103,741
2020-04-15,Madhya Pradesh,14096,8658,938
2020-04-16,Madhya Pradesh,17650,12326,1164
2020-04-17,Madhya Pradesh,20298,13992,1310
2020-04-18,Madhya Pradesh,22569,13576,1402
2020-04-19,Madhya Pradesh,24889,16428,1407
2020-04-20,Madhya Pradesh,27661,17657,1485
2020-04-21,Madhya Pradesh,29120,19353,1552
2020-04-22,Madhya Pradesh,31078,21077,1587
2020-04-23,Madhya Pradesh,33074,22861,1687
2020-04-24,Madhya Pradesh,35076,24387,1846
2020-04-25,Madhya Pradesh,36887,25921,1945
2020-04-26,Madhya Pradesh,38708,28179,2090
2020-04-27,Madhya Pradesh,,,
2020-04-28,Madhya Pradesh,,,
2020-04-05,Maharashtra,16008,14837,
2020-04-06,Maharashtra,17563,15808,868
2020-04-07,Maharashtra,20877,19290,1018
2020-04-09,Maharashtra,20877,19290,868
2020-04-10,Maharashtra,30000,28865,1135
2020-04-11,Maharashtra,31841,30477,1761
2020-04-12,Maharashtra,35668,34094,1761
2020-04-13,Maharashtra,39725,37964,1996
2020-04-14,Maharashtra,41071,39089,2340
2020-04-15,Maharashtra,45142,42808,2690
2020-04-16,Maharashtra,50882,48198,2916
2020-04-17,Maharashtra,55678,52762,3204
2020-04-18,Maharashtra,60166,56964,3323
2020-04-19,Maharashtra,66796,63476,3651
2020-04-20,Maharashtra,71321,67673,4204
2020-04-21,Maharashtra,75838,71638,4676
2020-04-22,Maharashtra,82304,77638,5229
2020-04-23,Maharashtra,89197,83979,5218
2020-04-24,Maharashtra,95210,89561,6427
2020-04-25,Maharashtra,100912,94485,6817
2020-04-26,Maharashtra,107979,101162,7928
2020-04-27,Maharashtra,115147,107519,8068
2020-04-28,Maharashtra,120620,112552,8590
2020-04-29,Maharashtra,,,
2020-02-16,Meghalaya,552,299,7
2020-04-17,Meghalaya,617,541,9
2020-04-18,Meghalaya,738,667,11
2020-04-19,Meghalaya,766,678,11
2020-04-20,Meghalaya,838,714,11
2020-04-21,Meghalaya,933,821,12
2020-04-22,Meghalaya,1046,904,12
2020-04-23,Meghalaya,1109,1000,12
2020-04-24,Meghalaya,1130,1048,12
2020-04-25,Meghalaya,1169,1097,12
2020-04-26,Meghalaya,,,
2020-04-27,Meghalaya,1254,1182,12
2020-04-28,Meghalaya,,,
2020-04-06,Mizoram,58,0,1
2020-04-07,Mizoram,58,0,1
2020-04-08,Mizoram,74,,1
2020-04-09,Mizoram,84,,1
2020-04-10,Mizoram,,,
2020-04-11,Mizoram,,,
2020-04-12,Mizoram,87,,1
2020-04-13,Mizoram,89,,1
2020-04-14,Mizoram,91,,1
2020-04-15,Mizoram,94,,1
2020-04-16,Mizoram,94,,1
2020-04-17,Mizoram,,,
2020-04-18,Mizoram,102,,1
2020-04-19,Mizoram,116,,1
2020-04-20,Mizoram,132,,1
2020-04-21,Mizoram,135,,1
2020-04-22,Mizoram,135,,1
2020-04-23,Mizoram,137,,1
2020-04-26,Mizoram,146,,1
2020-04-06,Nagaland,60,47,0
2020-04-10,Nagaland,70,69,0
2020-04-11,Nagaland,70,70,0
2020-04-12,Nagaland,74,70,0
2020-04-13,Nagaland,,,
2020-04-14,Nagaland,174,97,0
2020-04-15,Nagaland,184,174,0
2020-04-16,Nagaland,,,
2020-04-17,Nagaland,274,222,0
2020-04-18,Nagaland,392,292,0
2020-04-19,Nagaland,404,345,0
2020-04-20,Nagaland,434,404,0
2020-04-21,Nagaland,537,456,0
2020-04-22,Nagaland,543,481,0
2020-04-23,Nagaland,607,543,0
2020-04-24,Nagaland,,,
2020-04-25,Nagaland,613,607,0
2020-04-26,Nagaland,613,613,0
2020-04-27,Nagaland,629,613,0
2020-04-03,Odisha,1395,1108,20
2020-04-07,Odisha,2190,,40
2020-04-07,Odisha,2441,,42
2020-04-08,Odisha,2441,2399,42
2020-04-09,Odisha,3249,3201,48
2020-04-10,Odisha,3547,3497,50
2020-04-11,Odisha,3551,3497,51
2020-04-12,Odisha,3862,3808,54
2020-04-13,Odisha,4170,4116,54
2020-04-14,Odisha,4734,4678,56
2020-04-15,Odisha,5537,5477,60
2020-04-16,Odisha,6734,6674,60
2020-04-17,Odisha,7577,7517,60
2020-04-18,Odisha,8619,8559,60
2020-04-19,Odisha,9690,9629,61
2020-04-20,Odisha,10641,,68
2020-04-21,Odisha,11748,,79
2020-04-22,Odisha,13775,,83
2020-04-23,Odisha,15984,,83
2020-04-24,Odisha,18458,,90
2020-04-25,Odisha,20599,,94
2020-04-26,Odisha,22816,,103
2020-04-27,Odisha,25103,,108
2020-04-28,Odisha,26687,,118
2020-04-18,Puducherry,1207,1159,7
2020-04-19,Puducherry,1245,1214,7
2020-04-20,Puducherry,1272,1232,7
2020-04-21,Puducherry,1319,1272,7
2020-04-22,Puducherry,1473,1354,7
2020-04-23,Puducherry,1548,1513,7
2020-04-24,Puducherry,1704,1657,7
2020-04-25,Puducherry,1864,1793,8
2020-04-26,Puducherry,1977,1902,8
2020-04-27,Puducherry,2014,1942,8
2020-04-02,Punjab,1434,1236,37
2020-04-08,Punjab,2937,2614,106
2020-04-09,Punjab,3192,2777,130
2020-04-10,Punjab,3461,2972,151
2020-04-11,Punjab,3909,3249,158
2020-04-12,Punjab,4281,3590,170
2020-04-13,Punjab,4480,3858,176
2020-04-14,Punjab,4844,4047,184
2020-04-15,Punjab,5193,4404,186
2020-04-16,Punjab,5524,4727,197
2020-04-17,Punjab,5988,5113,211
2020-04-18,Punjab,6167,5354,234
2020-04-19,Punjab,6607,5949,244
2020-04-20,Punjab,6797,6273,245
2020-04-21,Punjab,7355,6769,251
2020-04-22,Punjab,7887,7100,257
2020-04-23,Punjab,8757,7433,283
2020-04-24,Punjab,10611,8310,298
2020-04-25,Punjab,13270,9392,308
2020-04-26,Punjab,14317,10497,322
2020-04-27,Punjab,15516,12333,330
2020-04-05,Rajasthan,12279,11439,260
2020-04-07,Rajasthan,17638,16401,363
2020-04-08,Rajasthan,17638,16401,363
2020-04-09,Rajasthan,19107,17851,463
2020-04-10,Rajasthan,22349,20698,561
2020-04-11,Rajasthan,24857,22583,678
2020-04-12,Rajasthan,28505,25105,796
2020-04-13,Rajasthan,31804,28657,847
2020-04-14,Rajasthan,34928,29376,1005
2020-04-15,Rajasthan,37860,31902,1076
2020-04-16,Rajasthan,40778,33739,1101
2020-04-17,Rajasthan,42847,36153,1229
2020-04-18,Rajasthan,47197,39092,1282
2020-04-19,Rajasthan,51614,43537,1478
2020-04-20,Rajasthan,57290,47657,1576
2020-04-21,Rajasthan,61492,54100,1735
2020-04-22,Rajasthan,66257,58552,1888
2020-04-23,Rajasthan,69764,63485,1964
2020-04-24,Rajasthan,74484,68133,2034
2020-04-25,Rajasthan,78993,71806,2083
2020-04-26,Rajasthan,82942,75670,2185
2020-04-27,Rajasthan,87777,80830,2262
2020-04-28,Rajasthan,92506,85834,2335
2020-04-29,Rajasthan,,,
2020-04-03,Tamil Nadu,3684,2789,411
2020-04-08,Tamil Nadu,5305,4414,690
2020-04-09,Tamil Nadu,7267,5824,834
2020-04-10,Tamil Nadu,8410,6838,911
2020-04-11,Tamil Nadu,9842,7779,969
2020-04-12,Tamil Nadu,10655,,1075
2020-04-13,Tamil Nadu,12746,,1173
2020-04-14,Tamil Nadu,19255,13234,1204
2020-04-15,Tamil Nadu,21994,15210,1242
2020-04-16,Tamil Nadu,26005,18743,1267
2020-04-17,Tamil Nadu,29673,21628,1323
2020-04-18,Tamil Nadu,35036,27192,1372
2020-04-19,Tamil Nadu,40876,31853,1477
2020-04-20,Tamil Nadu,46985,38082,1520
2020-04-21,Tamil Nadu,53045,43582,1596
2020-04-22,Tamil Nadu,59023,49506,1629
2020-04-23,Tamil Nadu,65977,56836,1683
2020-04-24,Tamil Nadu,72403,62596,1755
2020-04-25,Tamil Nadu,80110,69390,1821
2020-04-26,Tamil Nadu,87605,77133,1885
2020-04-27,Tamil Nadu,94781,83021,1937
2020-04-28,Tamil Nadu,,,
2020-04-19,Telangana,14962,14104,858
2020-04-20,Telangana,,,
2020-04-11,Tripura,337,335,2
2020-04-15,Tripura,738,,2
2020-04-16,Tripura,762,760,2
2020-04-17,Tripura,,,
2020-04-18,Tripura,,,
2020-04-19,Tripura,,,
2020-04-20,Tripura,,,
2020-04-21,Tripura,2604,2602,2
2020-04-22,Tripura,3215,3123,2
2020-04-05,Uttar Pradesh,5255,4796,278
2020-04-05,Uttar Pradesh,5255,4796,278
2020-04-09,Uttar Pradesh,8402,7898,410
2020-04-10,Uttar Pradesh,9332,8798,433
2020-04-11,Uttar Pradesh,10595,10012,452
2020-04-12,Uttar Pradesh,11855,11250,483
2020-04-13,Uttar Pradesh,13287,12542,558
2020-04-14,Uttar Pradesh,15914,15134,660
2020-04-15,Uttar Pradesh,19506,18595,727
2020-04-16,Uttar Pradesh,21384,20374,805
2020-04-17,Uttar Pradesh,24643,23648,849
2020-04-18,Uttar Pradesh,28484,27262,974
2020-04-19,Uttar Pradesh,31767,,1100
2020-04-20,Uttar Pradesh,34326,32874,1184
2020-04-21,Uttar Pradesh,37933,36378,1337
2020-04-22,Uttar Pradesh,42192,40263,1449
2020-04-23,Uttar Pradesh,45483,43495,1510
2020-04-24,Uttar Pradesh,53166,51161,1621
2020-04-25,Uttar Pradesh,56851,54216,1793
2020-04-26,Uttar Pradesh,61799,58492,1873
2020-04-27,Uttar Pradesh,67145,64139,1896
2020-04-02,Uttarakhand,678,554,7
2020-04-07,Uttarakhand,1289,1092,32
2020-04-09,Uttarakhand,1531,1235,35
2020-04-10,Uttarakhand,1688,1320,35
2020-04-11,Uttarakhand,1705,1340,35
2020-04-12,Uttarakhand,1820,1452,35
2020-04-13,Uttarakhand,1998,1665,35
2020-04-14,Uttarakhand,2174,1838,35
2020-04-15,Uttarakhand,2413,2022,37
2020-04-16,Uttarakhand,2593,2210,37
2020-04-17,Uttarakhand,2831,2420,40
2020-04-18,Uttarakhand,3158,2710,42
2020-04-19,Uttarakhand,3344,3046,44
2020-04-20,Uttarakhand,3677,3228,46
2020-04-21,Uttarakhand,4061,3445,46
2020-04-22,Uttarakhand,4275,3664,46
2020-04-23,Uttarakhand,4473,3879,47
2020-04-24,Uttarakhand,4767,4239,48
2020-04-25,Uttarakhand,5194,4423,48
2020-04-26,Uttarakhand,5277,4675,50
2020-04-27,Uttarakhand,5463,4912,51
2020-04-28,Uttarakhand,,,
2020-04-01,West Bengal,659,568,37
2020-04-04,West Bengal,1042,,
2020-04-06,West Bengal,1301,,
2020-04-07,West Bengal,1487,,
2020-04-09,West Bengal,1889,,
2020-04-10,West Bengal,2095,,
2020-04-11,West Bengal,2286,,126
2020-04-12,West Bengal,2523,,134
2020-04-13,West Bengal,2793,,152
2020-04-14,West Bengal,3081,,190
2020-04-15,West Bengal,3470,,213
2020-04-16,West Bengal,3811,,231
2020-04-17,West Bengal,4212,,255
2020-04-18,West Bengal,4630,,287
2020-04-19,West Bengal,5045,,310
2020-04-20,West Bengal,5469,,339
2020-04-21,West Bengal,6182,,392
2020-04-22,West Bengal,7037,,423
2020-04-23,West Bengal,7990,,456
2020-04-24,West Bengal,8933,,514
2020-04-25,West Bengal,9880,,571
2020-04-26,West Bengal,10893,,611
2020-04-27,West Bengal,12043,,649